Statement Coverage (%),hjson-cpp,json.cpp,jvar,tinyxml2,jsonxx,RSJp-cpp,Jzon,TinyEXIF,bitmap,indicators,polypartition,Overall
Overall,91.37,97.60,89.68,98.57,91.61,84.84,90.59,75.61,94.83,87.09,89.86,91.42
w/o Iteration,-16.69,-1.20,-26.78,-8.40,-6.80,-35.02,-9.41,-9.76,-9.09,-21.41,-30.10,-16.30
w/o Reflect,-4.37,-0.40,-6.28,-1.53,-0.91,-3.61,-3.47,-6.50,-1.58,-0.49,-8.71,-3.57
w/o Context,-48.91,-63.20,-16.76,-10.40,-11.34,-15.52,-27.72,-16.26,-19.60,-15.20,-28.22,-23.41
w/o CoT,-24.28,-3.60,-22.73,-12.88,-4.08,-9.75,-1.98,-1.90,-6.67,-9.97,-13.23,-12.12

Branch Coverage (%),hjson-cpp,json.cpp,jvar,tinyxml2,jsonxx,RSJp-cpp,Jzon,TinyEXIF,bitmap,indicators,polypartition,Overall
Overall,82.56,95.92,61.31,74.12,76.86,68.57,76.14,61.03,78.78,71.38,68.32,74.24
w/o Iteration,-13.76,-1.53,-19.60,-5.80,-6.99,-30.29,-7.95,-11.03,-8.35,-13.45,-23.40,-13.21
w/o Reflect,-4.65,-0.51,-5.28,-1.66,-1.31,-5.14,-4.55,-8.09,-1.58,-0.69,-7.09,-3.55
w/o Context,-47.87,-76.53,-19.86,-9.94,-9.61,-10.29,-38.64,-25.00,-21.67,-23.45,-25.06,-26.54
w/o CoT,-23.45,-5.61,-17.84,-13.04,-3.93,-3.43,-4.55,-2.94,-6.77,-4.14,-9.22,-10.96

