Project,Citywalk,GPT-4.1-nano,Deepseek-V3.2,Haiku-4.5,CoverUp,LLM4CPP,TraceIT
hjson-cpp,24.16,16.86,23.26,16.28,19.57,56.40,82.56
json.cpp,25.16,8.16,43.37,19.90,48.98,95.92,95.92
jvar,45.97,11.81,10.30,27.64,29.15,31.91,61.31
tinyxml2,65.62,25.47,46.17,47.83,43.48,63.98,74.12
jsonxx,60.25,55.46,55.02,68.56,66.38,67.25,76.86
RSJp-cpp,67.35,35.43,40.57,27.43,41.71,41.14,68.57
Jzon,37.70,25.00,26.14,34.09,28.41,60.23,76.14
TinyEXIF,12.11,15.44,40.44,54.41,21.32,53.68,61.03
bitmap,78.49,18.06,28.44,39.95,64.11,52.37,78.78
indicators,24.24,27.24,23.10,39.31,31.72,56.90,71.38
polypartition,31.82,0.00,21.99,1.65,54.37,57.21,68.32
Overall,43.85,19.66,30.50,31.71,41.69,56.44,74.24
