Project,Citywalk,GPT-4.1-nano,Deepseek-V3.2,Haiku-4.5,CoverUp,LLM4CPP,TraceIT
hjson-cpp,23.78,20.02,21.98,22.21,24.40,59.15,91.37
json.cpp,35.25,17.60,46.00,32.00,51.20,97.20,97.60
jvar,62.96,20.36,16.46,43.38,44.35,53.56,89.68
tinyxml2,76.50,35.21,60.02,62.21,56.87,86.74,98.57
jsonxx,72.66,63.04,60.54,78.00,74.15,77.78,91.61
RSJp-cpp,81.90,41.88,46.57,34.66,49.46,49.82,84.84
Jzon,67.44,45.54,44.55,50.99,50.99,80.69,90.59
TinyEXIF,37.57,39.02,29.81,64.77,48.51,68.29,75.61
bitmap,92.11,22.19,35.70,44.79,79.23,67.06,94.83
indicators,53.33,35.13,31.70,58.50,42.48,68.63,87.09
polypartition,63.33,0.33,29.66,2.65,67.81,74.86,89.86
Overall,62.88,26.80,36.86,42.62,55.51,70.37,91.42
